Gene_Symbol,log2FoldChange,pvalue
ACTL8,4.664436277861891,0.0405308469670187
MAGEB6,2.0321552970974004,0.041930322062569
PBXIP1,3.96504204036338,0.0421880974996179
SPANXC,-2.436704175568304,0.044555915648038
GAGE2A,-1.6923050007648968,0.0454785069277885
SAGE1,-2.039525712413596,0.04566273976286
LASP1,1.8937692751182629,0.0459337897895843
C11orf71,1.6134398739628688,0.0459472455780368
CEP85L,-3.077160791084888,0.0473045486514948
MAGEB3,-1.749313769981464,0.0475447182903329
ZNF304,-1.232502336647082,0.0475513144944388
MAGEA6,-2.453771627619877,0.0477275449177299
TRIM46,2.5811631513778672,0.0481236931735771
MAGEA8,2.031314555985495,0.050574302097942
RNF139,3.0945407799336544,0.0514711836815231
HIC1,0.1895113954843158,0.0515913556099116
C6orf132,0.3007390792797471,0.05249540139717
SLC4A1AP,0.534949776835555,0.0526458636466705
BRIP1,3.874836012543849,0.0533581232896949
ZFPM2-AS1,1.9775798676076173,0.0534039294147126
ZFR,0.6526381804497233,0.0534074757800264
ELAC2,0.7682488021915234,0.0542601316889268
OLA1,2.4289273773858886,0.0590102332318207
CSAG3,0.1687962035252724,0.0597403980447458
MAGEA12,3.831847282506444,0.061459231396226
PPIAL4C,1.0124542774023888,0.0627238799816411
SDCCAG8,-3.444173419892728,0.0627273905912477
POTEC,0.7424616830829651,0.0635323510974134
FDCSP,-2.2431359287145787,0.0643143004421744
PKD1-AS1,-2.344562599787807,0.0652047116069226
GAS8-AS1,0.2441902463720793,0.0660473637617731
PRAC1,-0.5442030080680507,0.0672468976063674
ODF4,-3.119457954912124,0.0675727246883094
CLDN7,-0.6314203784829008,0.0677070593023233
CPXCR1,5.474507333044181,0.068774780824599
NDC80,5.382956143778891,0.0694017636419872
FZD8,0.0612754356473567,0.0702681506380213
DCAF12,-5.309739310774518,0.0707825853324624
GAGE12G,-2.0555509889160786,0.0731465829849698
HOXB9,-2.994694731472121,0.074628859930275
MUC16,-1.1251636786981092,0.0768884958517889
DPH1,3.1672778729665567,0.0795412247600738
CT47B1,-0.1927542735352605,0.0824708304361769
DNAI7,0.249128412719103,0.0827245950920145
SPANXN5,-2.0680773588808075,0.0845637571641933
CASC21,-4.66816298147937,0.0867453267241553
POTEH,0.8104158812211053,0.0875120516121333
LINC01194,0.4976492389336751,0.0881411573020702
LOC107372315,-1.6333230814342796,0.0882699125632302
RUBCNL,-0.980270382830394,0.0891277580104664
EIF3H,0.5602312045260419,0.0929125478585639
BRI3BP,-0.8567862913169237,0.0934534370751271
ZNF292,-1.871216341391384,0.1000928465862745
PPM1D,-1.6127993865128107,0.1014803716308364
RHOBTB2,0.1745052124750473,0.1019302888913967
CT45A3,1.3048539140422442,0.1039853116478989
SSX3,1.7253599792777812,0.1042314742638659
CT45A6,-1.9320630363439293,0.1047190036886969
CCDC110,-2.09930460545194,0.1052106646731014
LUZP4,-2.3173261789452075,0.1063064697529033
CTAGE1,-2.9782587430066214,0.1071324088193034
PAGE5,-1.2543926089613413,0.1074449258051143
MAGEC1,2.907909380387399,0.1080590339897955
AGAP2-AS1,-5.754802911838962,0.1080949850396445
DIRC1,-2.857425744576558,0.1094180003301613
CCDC112,-1.4395456016117,0.109849292042003
MAGED2,-2.298560585584508,0.1100471108397557
BLID,-4.031789677974129,0.1110006334653687
CT83,2.8952771837501694,0.1121672948133634
ACP4,3.384680935413532,0.1125497102515844
DANCR,1.5602995426303878,0.1129774905949999
CLCA2,4.690427098039716,0.113198339091634
PAGE4,-3.5896553779485982,0.1133772684370369
CT55,1.2449957281136244,0.113676885170042
MT-ATP8,-0.6134702900071762,0.1153947382232863
C4orf46,2.29465486763694,0.11620719843363
DLEC1,-3.300583017551605,0.1178486078978897
SPANXN2,5.332583436640666,0.1210778449864499
SSX4B,-3.0007410176394407,0.1221529497166226
TUSC3,-1.5567487995514844,0.1236057983246003
SPANXN3,-1.4789284720895748,0.1241859392133218
C1orf74,1.6553266863026166,0.1267910351381188
LZTS1,2.398177065213017,0.1276809200163076
CT47A6,0.4661357869235691,0.1279259830848465
CEACAM7,-2.655759284315262,0.1299082165899425
EFCAB13-DT,4.388352106108011,0.1304888818492169
TMEFF2,-3.658787370330296,0.132450640596136
SLC39A1,0.7024796693375817,0.1354074131734974
WDR77,-1.5005421928969866,0.1410093573840712
BCAR3,1.7790371952222244,0.1416451329051137
MAGEH1,-3.450253645537229,0.1442207667862292
MAGEA1,1.262468197451143,0.1488547165826638
LRRC3B,-3.1143469467799703,0.1493670164330411
MAGEB1,4.715464753026326,0.1499734837534394
TFF1,7.697202021138095,0.1529329434938779
TSHZ1,-1.325644045931102,0.1566126277621956
LRATD2,0.0255826525489676,0.1616499261559413
MIR1915HG,-1.700061803946227,0.1630630056951288
CASC19,-0.836253089602371,0.1644630309870383
MAGEC3,-2.648033804722379,0.1655045341704241
LTO1,2.438862817805898,0.1669643142166728
CASC8,-1.2673579384278244,0.1673284176485109
BCDIN3D,4.112419283753209,0.169685287056835
CAGE1,-0.0199316032915434,0.1704979458866066
GACAT2,2.798937278586442,0.1716464432752646
SSX7,1.401961315920586,0.1717939911864359
BARHL1,-1.003051179714591,0.1725946536184197
THAP10,-0.7475183761646687,0.1740341179049458
MT-CYB,0.0127836416061522,0.1741706583853787
MAGEA11,0.3268514432152283,0.1761066409927754
SPANXA2,-3.538426855126036,0.177631359411226
NOVA1,3.2636970178858227,0.1784025094285796
SNCG,0.0131092492954579,0.1875956003432159
NKX2-8,1.2876192157651198,0.1878040401035372
CTAG2,-0.7216465973003459,0.1886604126365005
CT45A5,0.960163622348268,0.1902392838795169
MGMT,-4.282836322727194,0.1908484809653798
TNFRSF10C,4.413635600702742,0.1921419977547011
CBR3-AS1,1.7938556394899057,0.1922546188376812
CT45A9,2.5774988062398774,0.1936734141166644
ERAS,1.97915673490734,0.1949589895409242
TSHZ2,-1.4984816136100554,0.1985268245784288
ANKRD45,2.7469421299679757,0.200720954654597
ZBED3,-0.271900371142144,0.2022540513226014
STEAP2,0.1852369510494379,0.2035867822982895
TUSC2,0.0525096040818976,0.2040902075667653
SLC45A3,0.5086590896680577,0.2045401524350137
ELF3-AS1,0.9034890137710349,0.2082070515248809
KDM3B,5.786646416683771,0.2102318717216113
MNS16A,1.284464877280522,0.2110054745419045
CHAC1,2.248999688583127,0.2115659184980836
PLAC1,2.1808015918016954,0.2119439879741282
CAMK2N1,-1.1001112167424594,0.2139939366955839
GREB1,0.7326811832467031,0.2142266296384633
TBC1D3F,-6.549362760224361,0.216193796843436
POU2AF3,3.845091416164923,0.2178924166079513
GPATCH2,1.2297979287662644,0.2182092500854985
CIMAP1A,-0.8034646041324836,0.2203974463575202
KLK15,-1.4004526004924238,0.2210174411303028
AMPH,0.1174514844118551,0.2222247312170144
HEATR6,-2.021234007232969,0.2222995310510071
LOC110408762,-0.5920465168500222,0.2248813882854094
OVCA2,0.5801248433940908,0.2252684259877476
SSX4,-0.222800098781971,0.2259412361879272
GKN2,2.948242960159566,0.2306025125595768
MAGEA3,-2.1169842951710125,0.2315002084921681
FAM168A,1.6741813720750962,0.2411917305034268
CCDST,0.5806342429025089,0.2446071219042489
ZEB2-AS1,-1.0516133069133975,0.2467323582373214
BRINP1,1.6989943723366896,0.2497294599101208
CEP55,-1.932524459638666,0.255026837866997
PASD1,5.230968189213651,0.2553567236754056
TTC9,2.3282002977904965,0.2562145006514844
BNAT1,-1.6929042787802793,0.2587103621542511
SSX5,-1.7858785450659196,0.2648331743900359
ROPN1,-0.2868411036672475,0.2669867383999451
EGFLAM-AS1,0.0881588799293215,0.2684462343835209
GPR161,0.8102099234869875,0.269527370196377
CDK2AP1,2.0635408724700746,0.2711362263028569
GLIPR1,1.5708637731606998,0.272655846756816
BLCAP,-1.326252869026319,0.2787062160419195
AGAP2,1.0042793052473535,0.2817408840156487
HSPB9,1.4671427345006758,0.2853890008274545
SSX1,-1.2956755456841185,0.2868468251252131
FATE1,-0.3676434537553466,0.2875936981172901
XAGE5,-0.1566977431829297,0.2884731854975281
GKN1,1.441392407639416,0.2910473056779635
PLK1,0.5686498365103235,0.2925397372335486
FTHL17,4.217854087681412,0.2943361539038964
CT47A1,-3.835285426839056,0.2968738620640004
PRSS50,-1.2134088695727587,0.3007002132478534
PFKFB4,2.2040993923736263,0.3084788023157989
PCGEM1,1.3677434529250947,0.3206685204169485
SPAG9,-0.5054816310847352,0.327469744421906
LY6K,0.5411464739549372,0.329265856628398
XAGE3,-8.103168350172682,0.3305841732761878
LDOC1,0.0314810019544871,0.3316243288805816
BCAS1,-0.5203056258931881,0.3394356052994056
PRSS54,-1.918368907220124,0.3429309559714191
RTL6,2.50883224473006,0.3486402161452853
MT-ND2,-0.788173111600864,0.3557005414486673
FUNDC2,-0.4032142791650228,0.3630963215209603
PRM1,-1.8908768632107584,0.3729897930679723
MAGEB2,3.2678568857060704,0.3773428433775526
MTNAP1,-2.0980438080565964,0.387412522738561
CSAG1,0.8925387149126184,0.4100969833609079
GREB1L,0.1607000477386569,0.4230575354233926
TUSC1,1.0323286356890609,0.437448053229746
POTEB,-4.880219498806254,0.4410262394930868
PRNCR1,-4.018708086403069,0.4454837500554529
SPATA19,-1.4093113820099368,0.4801642952728044
DERPC,-1.1162873801675528,0.4860850320647922
ARID4B,1.0319523173412457,0.4935592813128515
RNF26,-3.03547153196933,0.5016354372683218
GAGE2B,-2.223786074063808,0.5405810657392672
UPK2,-0.0522539849103703,0.5414092577412
TMPRSS9,0.6438759768069109,0.5600132449315369
ACRBP,-3.504627656980702,0.5645237217297963
BRMS1,-1.884340410893724,0.7280747497367511
